,Topic,Count,Name,CustomName,Representation,Representative_Docs
91,91,15,91_voorgelegd_verkiezingen krijgen_krijgen lijsttrekkers_lijsttrekkers pittige,"91, voorgelegd, verkiezingen krijgen, krijgen lijsttrekkers, lijsttrekkers pittige, pittige, dilemma, aanloop verkiezingen, lijsttrekkers, pittige vragen, voorgelegd vandaag","['voorgelegd', 'verkiezingen krijgen', 'krijgen lijsttrekkers', 'lijsttrekkers pittige', 'pittige', 'dilemma', 'aanloop verkiezingen', 'lijsttrekkers', 'pittige vragen', 'voorgelegd vandaag']",
92,92,15,92_gedachten veranderd_volk helpen_joodse volk_helpen gedachten,"92, gedachten veranderd, volk helpen, joodse volk, helpen gedachten, belangrijk gevonden, gedachten, joodse, gevonden joodse, veranderd henri, veranderd","['gedachten veranderd', 'volk helpen', 'joodse volk', 'helpen gedachten', 'belangrijk gevonden', 'gedachten', 'joodse', 'gevonden joodse', 'veranderd henri', 'veranderd']",
93,93,16,93_debat gaan_kandidaat kamerleden_elkaar debat_verkiezingspodcasts waarin,"93, debat gaan, kandidaat kamerleden, elkaar debat, verkiezingspodcasts waarin, presenteert aanloop, verkiezingspodcasts, kamerleden elkaar, kamerverkiezingen verkiezingspodcasts, valideert, waarin lokale","['debat gaan', 'kandidaat kamerleden', 'elkaar debat', 'verkiezingspodcasts waarin', 'presenteert aanloop', 'verkiezingspodcasts', 'kamerleden elkaar', 'kamerverkiezingen verkiezingspodcasts', 'valideert', 'waarin lokale']",
94,94,13,94_modellen_klimaatverandering_wetenschappers_klimaat,"94, modellen, klimaatverandering, wetenschappers, klimaat, begrijp, wetenschap, hierop, ipcc, wetenschapper, komen zegt","['modellen', 'klimaatverandering', 'wetenschappers', 'klimaat', 'begrijp', 'wetenschap', 'hierop', 'ipcc', 'wetenschapper', 'komen zegt']",
95,95,14,95_https disclosurelibrarygroup_disclosurelibrarygroup_humanity_deceiver,"95, https disclosurelibrarygroup, disclosurelibrarygroup, humanity, deceiver, biological, volledig rust, to humanity, visie greintje, politicus trots, politiek volledig","['https disclosurelibrarygroup', 'disclosurelibrarygroup', 'humanity', 'deceiver', 'biological', 'volledig rust', 'to humanity', 'visie greintje', 'politicus trots', 'politiek volledig']",
96,96,30,96_geert_wilders pvv_geert wilders_nieuws geert,"96, geert, wilders pvv, geert wilders, nieuws geert, beertema, harm beertema, goed nieuws, harm, beter uitpakken, pvv beter","['geert', 'wilders pvv', 'geert wilders', 'nieuws geert', 'beertema', 'harm beertema', 'goed nieuws', 'harm', 'beter uitpakken', 'pvv beter']",
97,97,17,97_uh_psv_spelers_favoriete,"97, uh, psv, spelers, favoriete, voetbal, kijk kijk, ajax, mariokart, kijk, mario","['uh', 'psv', 'spelers', 'favoriete', 'voetbal', 'kijk kijk', 'ajax', 'mariokart', 'kijk', 'mario']",
98,98,13,98_wal_boeren_onteigenen_boeren onteigenen,"98, wal, boeren, onteigenen, boeren onteigenen, wal moedig, minister wal, ontmanteling, veestapel, moedig, noemt stikstofplan","['wal', 'boeren', 'onteigenen', 'boeren onteigenen', 'wal moedig', 'minister wal', 'ontmanteling', 'veestapel', 'moedig', 'noemt stikstofplan']",
99,99,14,99_onderzoek_meijeren_onafhankelijk onderzoek_gideon meijeren,"99, onderzoek, meijeren, onafhankelijk onderzoek, gideon meijeren, gideon, breaking, motie, onafhankelijk, sadistisch, slachtoffers","['onderzoek', 'meijeren', 'onafhankelijk onderzoek', 'gideon meijeren', 'gideon', 'breaking', 'motie', 'onafhankelijk', 'sadistisch', 'slachtoffers']",
100,100,40,100_plas_caroline_bbb_caroline plas,"100, plas, caroline, bbb, caroline plas, uh, boeren, boer, staphorst, géén, trekker","['plas', 'caroline', 'bbb', 'caroline plas', 'uh', 'boeren', 'boer', 'staphorst', 'géén', 'trekker']",
101,101,12,101_nieuwrechts_lidewij_vos_lidewij vos,"101, nieuwrechts, lidewij, vos, lidewij vos, vos nederlanders, nederland gesprek, fvd, nederlanders thuis, voelen land, uitgebreid politieke","['nieuwrechts', 'lidewij', 'vos', 'lidewij vos', 'vos nederlanders', 'nederland gesprek', 'fvd', 'nederlanders thuis', 'voelen land', 'uitgebreid politieke']",
102,102,12,102_belangrijke vragen_bikker vrijheid_co eq5fylen8f_democratie enkele,"102, belangrijke vragen, bikker vrijheid, co eq5fylen8f, democratie enkele, burgers liefhebben, eq5fylen8f, liefhebben plaats, plaats denken, enkele belangrijke, liefhebben","['belangrijke vragen', 'bikker vrijheid', 'co eq5fylen8f', 'democratie enkele', 'burgers liefhebben', 'eq5fylen8f', 'liefhebben plaats', 'plaats denken', 'enkele belangrijke', 'liefhebben']",
103,103,12,103_2024 jaar_2017 2024_continu regering_co gffqhnlpkq,"103, 2024 jaar, 2017 2024, continu regering, co gffqhnlpkq, allang opgelost, ach partij, jetten 2017, lang continu, gezeten problemen, gffqhnlpkq","['2024 jaar', '2017 2024', 'continu regering', 'co gffqhnlpkq', 'allang opgelost', 'ach partij', 'jetten 2017', 'lang continu', 'gezeten problemen', 'gffqhnlpkq']",
104,104,14,104_wolf_dier_stelling_verkiezingsstelling,"104, wolf, dier, stelling, verkiezingsstelling, wolfnieuws nl, wolfnieuws, expliciet, noemt wolf, wolf nederland, pleit","['wolf', 'dier', 'stelling', 'verkiezingsstelling', 'wolfnieuws nl', 'wolfnieuws', 'expliciet', 'noemt wolf', 'wolf nederland', 'pleit']",
105,105,14,105_zindering_jetten ideale_co mjgj2bibwj_gaat lichte,"105, zindering, jetten ideale, co mjgj2bibwj, gaat lichte, premierskandidaat links, rechts zenuwachtig, peilingen nederlanders, ideale premierskandidaat, zenuwachtig optimist, lichte zindering","['zindering', 'jetten ideale', 'co mjgj2bibwj', 'gaat lichte', 'premierskandidaat links', 'rechts zenuwachtig', 'peilingen nederlanders', 'ideale premierskandidaat', 'zenuwachtig optimist', 'lichte zindering']",
106,106,11,106_universiteit_pettit_hoogleraar_politieke geschiedenis,"106, universiteit, pettit, hoogleraar, politieke geschiedenis, geschiedenis, brief, radboud, docent, aangifte, universiteit utrecht","['universiteit', 'pettit', 'hoogleraar', 'politieke geschiedenis', 'geschiedenis', 'brief', 'radboud', 'docent', 'aangifte', 'universiteit utrecht']",
107,107,12,107_eurobonds_schulden_motie_schulduitgifte,"107, eurobonds, schulden, motie, schulduitgifte, gezamenlijke schulduitgifte, eu, gemeenschappelijke, vos nóóit, verliest eu, nóóit akkoord","['eurobonds', 'schulden', 'motie', 'schulduitgifte', 'gezamenlijke schulduitgifte', 'eu', 'gemeenschappelijke', 'vos nóóit', 'verliest eu', 'nóóit akkoord']",
108,108,12,108_et_le_est_des,"108, et, le, est, des, les, qui, été, une, mais, il","['et', 'le', 'est', 'des', 'les', 'qui', 'été', 'une', 'mais', 'il']",
109,109,13,109_eh_hè_ehm_natuurlijk,"109, eh, hè, ehm, natuurlijk, nou, bedrijven, denk, geld, ai, echt","['eh', 'hè', 'ehm', 'natuurlijk', 'nou', 'bedrijven', 'denk', 'geld', 'ai', 'echt']",
110,110,17,110_haga_bvnl_wybren haga_wybren,"110, haga, bvnl, wybren haga, wybren, getraumatiseerd, diep getraumatiseerd, corona, rutte, hugo jonge, diep","['haga', 'bvnl', 'wybren haga', 'wybren', 'getraumatiseerd', 'diep getraumatiseerd', 'corona', 'rutte', 'hugo jonge', 'diep']",
111,111,17,111_plas_caroline plas_caroline_bbb,"111, plas, caroline plas, caroline, bbb, said, jochemvrugt bbb, kiezen cda, jochemvrugt, morgen https, ue5qj3343b","['plas', 'caroline plas', 'caroline', 'bbb', 'said', 'jochemvrugt bbb', 'kiezen cda', 'jochemvrugt', 'morgen https', 'ue5qj3343b']",
112,112,11,112_dreigingen_dreigingen adres_extra_extra dreigingen,"112, dreigingen, dreigingen adres, extra, extra dreigingen, extra dreiging, adres, politie, onderzoek extra, dreiging, politie onderzoek","['dreigingen', 'dreigingen adres', 'extra', 'extra dreigingen', 'extra dreiging', 'adres', 'politie', 'onderzoek extra', 'dreiging', 'politie onderzoek']",
113,113,10,113_gelder komt_e1kmttjyql_co e1kmttjyql_fvd keert,"113, gelder komt, e1kmttjyql, co e1kmttjyql, fvd keert, keert mondjesmaat, mondjesmaat terug, media jack, komt lidewij, zien amp, woest fvd","['gelder komt', 'e1kmttjyql', 'co e1kmttjyql', 'fvd keert', 'keert mondjesmaat', 'mondjesmaat terug', 'media jack', 'komt lidewij', 'zien amp', 'woest fvd']",
114,114,11,114_stel_stabiele_partijen_regering,"114, stel, stabiele, partijen, regering, baudet, stem, politieke partijen, zetels, democratie, israël","['stel', 'stabiele', 'partijen', 'regering', 'baudet', 'stem', 'politieke partijen', 'zetels', 'democratie', 'israël']",
115,115,11,115_lafheid_weggelopen_vind beschamend_waarvoor man,"115, lafheid, weggelopen, vind beschamend, waarvoor man, man rtl, beschamend, waarvoor, you, timmermans, extreem doorgevoerd","['lafheid', 'weggelopen', 'vind beschamend', 'waarvoor man', 'man rtl', 'beschamend', 'waarvoor', 'you', 'timmermans', 'extreem doorgevoerd']",
